流水ID	对话ID	显示类型	对话内容	左边对象类	左边对象ID	左边对象朝向	右边对象类	右边对象ID	右边对象朝向	字体大小	配音id	播放方式
int	string	int	string	string	string	float	string	string	float	int	int	int
Id	TalkID	ShowType	Content	LeftScript	LeftConfigID	LeftAvatarOrient	RightScript	RightConfigID	RightAvatarOrient	FontSize	AudioId	AudioPlayMode
1	dialog1000	0	Forging_Op_MagicLib	npc	npc_10001	180.000000	hero		180.000000	0	0	0
2	dialog1000	1	Forging_Op_PreviewHint	npc	npc_10002	180.000000	hero		180.000000	0	0	0
3	dialog1000	0	Forging_Op_LevelHint1	npc	npc_10003	180.000000	hero		180.000000	0	0	0
4	dialog1000	1	Forging_Op_LevelHint2	npc	npc_10004	180.000000	hero		180.000000	0	0	0
5	dialog2000	1	task_submit_600040_001	npc	npc_10035	155.000000	hero		155.000000	0	0	0
6	dialog2000	0	task_submit_600040_002	npc	npc_10035	155.000000	hero		155.000000	0	4000	1
7	dialog2000	1	task_submit_600040_003	npc	npc_10035	155.000000	hero		155.000000	0	4001	2
8	dialog2000	0	task_submit_600040_004	npc	npc_10035	155.000000	hero		155.000000	0	0	0
9	dialog2000	1	task_submit_600040_005	npc	npc_10035	155.000000	hero		155.000000	0	0	0
10	dialog2000	1	task_submit_600040_013	npc	npc_10035	155.000000	npc	npc_10030	155.000000	0	0	0
11	dialog2001	1	task_submit_600040_006	npc	npc_10035	155.000000	npc	npc_10030	155.000000	0	0	0
12	dialog2001	0	task_submit_600040_007	npc	npc_10035	155.000000	npc	npc_10030	155.000000	0	0	0
13	dialog2001	1	task_submit_600040_008	npc	npc_10035	155.000000	npc	npc_10030	155.000000	0	0	0
14	dialog2001	0	task_submit_600040_009	npc	npc_10035	155.000000	npc	npc_10030	155.000000	0	0	0
15	dialog2001	1	task_submit_600040_010	npc	npc_10035	155.000000	npc	npc_10030	155.000000	0	0	0
16	dialog2002	1	task_submit_600040_011	npc	npc_10035	155.000000	hero		155.000000	0	0	0
17	dialog2002	0	task_submit_600040_012	npc	npc_10035	155.000000	hero		155.000000	0	0	0
18	dialog2003	0	task_submit_600056_002	npc	npc_10043	155.000000	hero		155.000000	0	0	0
19	dialog2003	1	task_submit_600056_003	npc	npc_10043	155.000000	hero		155.000000	0	0	0
20	dialog2003	0	task_submit_600056_004	npc	npc_10043	155.000000	hero		155.000000	0	0	0
21	dialog2003	1	task_submit_600056_005	npc	npc_10043	155.000000	hero		155.000000	0	0	0
28	dialog2004	0	task_submit_600023_002	npc	npc_10041	155.000000	hero		155.000000	0	0	0
29	dialog2004	1	task_submit_600023_003	npc	npc_10041	155.000000	hero		155.000000	0	0	0
30	dialog2004	0	task_submit_600023_004	npc	npc_10041	155.000000	hero		155.000000	0	0	0
31	dialog2004	0	task_submit_600023_005	npc	npc_10041	155.000000	hero		155.000000	0	0	0
32	dialog2004	1	task_submit_600023_006	npc	npc_10041	155.000000	hero		155.000000	0	0	0
33	dialog2004	1	task_submit_600023_007	npc	npc_10041	155.000000	hero		155.000000	0	0	0
34	dialog2005	1	task_submit_600029_001	npc	npc_forging_001	155.000000	hero		155.000000	0	0	0
35	dialog2005	0	task_submit_600029_002	npc	npc_forging_001	155.000000	hero		155.000000	0	0	0
36	dialog2005	1	task_submit_600029_003	npc	npc_forging_001	155.000000	hero		155.000000	0	0	0
37	dialog2006	0	task_submit_600029_004	npc	npc_forging_001	155.000000	hero		155.000000	0	0	0
38	dialog2006	1	task_submit_600029_005	npc	npc_forging_001	155.000000	hero		155.000000	0	0	0
39	dialog2006	1	task_submit_600029_006	npc	npc_forging_001	155.000000	hero		155.000000	0	0	0
40	dialog2007	1	task_submit_600031_001	npc	npc_10036	155.000000	hero		155.000000	0	0	0
41	dialog2007	0	task_submit_600031_002	npc	npc_10036	155.000000	hero		155.000000	0	0	0
42	dialog2007	1	task_submit_600031_003	npc	npc_10036	155.000000	hero		155.000000	0	0	0
43	dialog2008	1	task_submit_600031_004	npc	npc_10036	155.000000	hero		155.000000	0	0	0
